UniqId,Position,Block,Trt,LorR,Species,ML,Combos,Of_exp,Seed_Number
44L,44,1,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.14,O,352
44R,44,1,Inter,R,P,Ip-4.14,Ihed-4.3-Ip-4.14,O,301
451L,451,2,Inter,L,P,Ip-4.18,Ihed-4.1-Ip-4.18,O,29
451R,451,2,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.18,O,91
452L,452,2,Alone,L,H,Ihed-4.9,Ihed-4.9,O,808
458L,458,2,Alone,L,H,Ihed-4.7,Ihed-4.7,O,1598
465L,465,2,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.18,O,290
465R,465,2,Inter,R,P,Ip-4.18,Ihed-4.4-Ip-4.18,O,193
467R,467,2,Inter,R,P,Ip-4.13,Ihed-4.7-Ip-4.13,R,89
469L,469,2,Inter,L,P,Ip-4.17,Ihed-4.2-Ip-4.17,R,129
469R,469,2,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.17,R,143
46L,46,1,Inter,L,P,Ip-4.18,Ihed-4.2-Ip-4.18,R,57
46R,46,1,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.18,R,45
472L,472,2,Inter,L,P,Ip-4.18,Ihed-4.3-Ip-4.18,O,969
472R,472,2,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.18,O,297
475R,475,3,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.18,R,100
477L,477,3,Intra,L,H,Ihed-4.15,Ihed-4.15-Ihed-4.3,R,214
477R,477,3,Intra,R,H,Ihed-4.3,Ihed-4.15-Ihed-4.3,R,236
486L,486,3,Inter,L,P,Ip-4.18,Ihed-4.2-Ip-4.18,R,369
486R,486,3,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.18,R,221
487L,487,3,Alone,L,H,Ihed-4.1,Ihed-4.1,R,214
489L,489,3,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.3,R,243
489R,489,3,Intra,R,H,Ihed-4.3,Ihed-4.1-Ihed-4.3,R,126
490L,490,3,Inter,L,P,Ip-4.17,Ihed-4.15-Ip-4.17,R,448
490R,490,3,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.17,R,292
491L,491,3,Intra,L,H,Ihed-4.4,Ihed-4.4-Ihed-4.9,R,77
491R,491,3,Intra,R,H,Ihed-4.9,Ihed-4.4-Ihed-4.9,R,70
492L,492,3,Alone,L,P,Ip-4.18,Ip-4.18,O,653
494L,494,3,Inter,L,P,Ip-4.15,Ihed-4.1-Ip-4.15,R,350
494R,494,3,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.15,R,352
495L,495,3,Inter,L,P,Ip-4.16,Ihed-4.12-Ip-4.16,R,443
495R,495,3,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.16,R,220
498L,498,3,Intra,L,H,Ihed-4.9,Ihed-4.3-Ihed-4.9,O,1557
498R,498,3,Intra,R,H,Ihed-4.3,Ihed-4.3-Ihed-4.9,O,2755
49L,49,1,Inter,L,P,Ip-4.12,Ihed-4.12-Ip-4.12,R,627
49R,49,1,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.12,R,75
4L,4,1,Intra,L,H,Ihed-4.4,Ihed-4.4-Ihed-4.9,O,1255
4R,4,1,Intra,R,H,Ihed-4.9,Ihed-4.4-Ihed-4.9,O,454
501L,501,3,Intra,L,H,Ihed-4.12,Ihed-4.12-Ihed-4.3,R,154
501R,501,3,Intra,R,H,Ihed-4.3,Ihed-4.12-Ihed-4.3,R,65
