Position,UniqId,Block,Trt,ML,Species,Combos,Of_exp,TotalProjStr,AreaConvexHull,MaxWidth,rootangle_right,rootangle_left,AvAng
254,254R,2,Intra,Ihed-4.1,H,Ihed-4.1-Ihed-4.3,O,305.3217773,63.39236069,6.120084286,76.40000153,78.19999695,12.70000076
257,257L,2,Inter,Ip-4.12,P,Ihed-4.15-Ip-4.12,O,362.399292,54.23130035,6.021769524,78.90000153,74.80000305,13.14999771
257,257R,2,Inter,Ihed-4.15,H,Ihed-4.15-Ip-4.12,O,195.2069244,52.50455475,5.308988571,101,84.90000153,5.09999847
258,258L,2,Alone,Ip-4.17,P,Ip-4.17,O,413.1654663,81.39001465,7.299859524,39.5,59.79999924,40.35000038
264,264L,2,Alone,Ip-4.15,P,Ip-4.15,O,385.0143127,70.9275589,7.22612381,56.40000153,117.5999985,33.59999847
268,268L,2,Inter,Ihed-4.9,H,Ihed-4.9-Ip-4.16,O,241.3163147,44.82765579,5.325374603,72.80000305,72.69999695,17.25
268,268R,2,Inter,Ip-4.16,P,Ihed-4.9-Ip-4.16,O,379.6989746,78.02424622,6.980337143,64.90000153,73.69999695,20.70000076
270,270L,2,Inter,Ihed-4.9,H,Ihed-4.9-Ip-4.15,O,190.2477112,48.70637894,6.849250793,55.20000076,73.59999847,25.60000039
271,271R,2,Intra,Ihed-4.7,H,Ihed-4.3-Ihed-4.7,O,221.2432861,49.04722977,6.72635746,75.59999847,81,11.70000077
275,275L,2,Inter,Ip-4.12,P,Ihed-4.15-Ip-4.12,O,327.8278503,65.61219788,6.603464603,54.20000076,95.69999695,35.79999924
275,275R,2,Inter,Ihed-4.15,H,Ihed-4.15-Ip-4.12,O,397.2312622,73.18471527,8.463249207,62.5,98.19999695,27.5
277,277R,2,Inter,Ihed-4.2,H,Ihed-4.2-Ip-4.18,O,190.8610382,48.3896904,6.718164921,59.59999847,92.69999695,30.40000153
279,279L,2,Inter,Ihed-4.7,H,Ihed-4.7-Ip-4.16,O,332.0712585,57.72486877,4.465121746,74.19999695,95,15.80000305
27,27L,1,Intra,Ihed-4.12,H,Ihed-4.12-Ihed-4.3,O,257.0604248,72.39796448,7.447331429,51.20000076,61.79999924,33.5
283,283L,2,Inter,Ip-4.16,P,Ihed-4.15-Ip-4.16,O,197.9373627,45.11601639,4.555243492,73.69999695,64.59999847,20.85000229
283,283R,2,Inter,Ihed-4.15,H,Ihed-4.15-Ip-4.16,O,119.1928177,41.34234238,5.259831429,85.90000153,98.59999847,4.09999847
28,28L,1,Intra,Ihed-4.12,H,Ihed-4.12-Ihed-4.4,O,399.016571,67.15341949,8.692649841,76.5,85.59999847,8.950000765
28,28R,1,Intra,Ihed-4.4,H,Ihed-4.12-Ihed-4.4,O,297.2095642,50.5640831,6.513342857,76.90000153,35.59999847,33.75
292,292R,2,Intra,Ihed-4.2,H,Ihed-4.2-Ihed-4.4,O,227.3241272,78.02726746,10.25749111,86.80000305,81.09999847,6.04999924
294,294L,2,Inter,Ip-4.12,P,Ihed-4.7-Ip-4.12,O,588.8008423,111.024765,8.987593651,50.90000153,99.30000305,39.09999847
294,294R,2,Inter,Ihed-4.7,H,Ihed-4.7-Ip-4.12,O,355.0128174,62.68917847,6.529728413,56.90000153,76.09999847,23.5
303,303L,2,Inter,Ihed-4.15,H,Ihed-4.15-Ip-4.11,O,194.4658661,52.18256378,5.603932381,67.40000153,89.59999847,11.5
303,303R,2,Inter,Ip-4.11,P,Ihed-4.15-Ip-4.11,O,180.0058746,45.76409531,4.161984921,78.90000153,94,11.09999847
306,306L,2,Intra,Ihed-4.12,H,Ihed-4.12-Ihed-4.2,O,243.6768036,46.90210342,5.28441,77.5,85,8.75
306,306R,2,Intra,Ihed-4.2,H,Ihed-4.12-Ihed-4.2,O,273.8634949,108.5456314,9.348080635,46,59.40000153,37.29999924
309,309L,2,Intra,Ihed-4.1,H,Ihed-4.1-Ihed-4.15,O,131.2441559,35.49596786,5.014044762,68.90000153,53.20000076,28.94999886
309,309R,2,Intra,Ihed-4.15,H,Ihed-4.1-Ihed-4.15,O,168.4959412,44.49559784,7.734082222,116.9000015,62.70000076,27.29999924
30,30L,1,Intra,Ihed-4.9,H,Ihed-4.15-Ihed-4.9,O,529.6213989,94.84481812,6.406835079,67.19999695,77.30000305,17.75
30,30R,1,Intra,Ihed-4.15,H,Ihed-4.15-Ihed-4.9,O,376.2344666,106.0575027,12.05992508,66.80000305,55.40000153,28.89999771
310,310L,2,Inter,Ihed-4.7,H,Ihed-4.7-Ip-4.12,O,282.9595032,50.46722412,6.595271587,69.19999695,92.90000153,20.80000305
