Id,Experiment,Population,Code,Species,ML,PrimaryRootLength,Angle_1,Angle_2,RootSystemWidth,AvAng,Total.Area
139,2,PA4,PA 4.12 Ip,Ip,PA 4.12 Ip,11.66938776,16.40836778,23.84752003,2.926916701,20.1279439,4.178090395
140,2,PA3,PA 3.3 Ihed,Ihed,PA 3.3 Ihed,12.04068027,16.81553329,15.48380312,4.976358815,16.1496682,7.388390895
141,1,PA1,PA 1.8 Ip,Ip,PA 1.8 Ip,15.22204082,49.33700029,43.14845807,11.12618547,46.24272918,2.178
142,1,PA4,PA 4.19 Ip,Ip,PA 4.19 Ip,14.67795918,53.53612065,39.63184925,10.09290514,46.58398495,2.044
142,2,PA2,PA 2.6 Ihed,Ihed,PA 2.6 Ihed,11.32993197,54.73517665,60.98880372,4.894777634,57.86199018,1.952
143,1,OC1,OC 1.1 Ip,Ip,OC 1.1 Ip,2.266870748,37.58998021,44.28658441,15.2709961,40.93828231,6.181
143,2,PA1,PA 1.7 Ip,Ip,PA 1.7 Ip,0.259931973,34.99137694,71.56556865,4.31129961,53.27847279,3.984
144,1,PA2,PA 2.6 Ihed,Ihed,PA 2.6 Ihed,14.2047619,52.10583369,35.26699591,10.66465975,43.6864148,2.846
144,2,PA4,PA 4.3 Ihed,Ihed,PA 4.3 Ihed,10.78891156,13.73625975,13.74416455,5.021854664,13.74021215,2.808
145,2,PA1,PA 1.15 Ihed,Ihed,PA 1.15 Ihed,10.15238095,13.31467456,22.37347633,7.393474686,17.84407544,4.609216326
146,1,PA1,PA 1.18 Ihed,Ihed,PA 1.18 Ihed,14.42863946,31.29867174,31.67162581,9.333340955,31.48514878,2.568
146,2,PA1,PA 1.14 Ihed,Ihed,PA 1.14 Ihed,11.31401361,35.12180851,21.38104714,8.991698272,28.25142783,5.166
147,1,PA4,PA 4.7 Ihed,Ihed,PA 4.7 Ihed,16.29870748,24.14949838,24.62736128,11.33832231,24.38842983,5.583
147,2,OC1,OC 1.9 Ip,Ip,OC 1.9 Ip,12.20510204,38.62278529,44.76750648,6.334684407,41.69514588,5.235
148,1,PA3,PA 3.7 Ihed,Ihed,PA 3.7 Ihed,0.918027211,57.07453621,34.19554525,6.727206361,45.63504073,0.799
151,1,PA1,PA 1.12 Ihed,Ihed,PA 1.12 Ihed,16.03809524,29.59877107,41.61024615,11.15440944,35.60450861,2.842
152,1,PA2,PA 2.9 Ihed,Ihed,PA 2.9 Ihed,15.44585034,44.94577674,22.99726221,9.258266898,33.97151948,1.887
152,2,PA2,PA 2.8 Ihed,Ihed,PA 2.8 Ihed,11.79136054,12.26130072,12.87374902,7.510178077,12.56752487,2.61
153,1,OC1,OC 1.7 Ip,Ip,OC 1.7 Ip,9.911904762,44.65526006,46.5684749,9.794416904,45.61186748,3.264
153,2,PA1,PA 1.5 Ihed,Ihed,PA 1.5 Ihed,10.23727891,23.1922447,40.7297054,6.318657076,31.96097505,2.542
154,1,PA2,PA 2.5 Ihed,Ihed,PA 2.5 Ihed,14.04326531,18.3846772,24.75945167,10.11498072,21.57206444,3.497
